Q1_A,Q1_B1
Strongly Opposed,As various studies have shown casinos are destructive both socially and economically.
Strongly in Favour,employment
Strongly Opposed,can be addicting
Somewhat Opposed,profiting off problem addiction gamblers
Somewhat in Favour,"Many cities have casino facilities which are highly successful and can add a positive vibe to the overall city. However, I think it essential that the location of the casino be carefully considered."
Strongly Opposed,It wouldn't necessarily add to the cultural landscape of the city
Strongly Opposed,"Crime theft, drugs, prostitution, property damage, assult"
Strongly Opposed,A casino would threaten the quality of life in Toronto.  The whole area in which it might be located would be significantly changed.
Neutral or Mixed Feelings,Greater prevalence of gambling can lead to higher rates of addiction.
Strongly in Favour,Revenue loss for existing businesses
Strongly Opposed,Casinos do not bring money into local businesses.
Strongly in Favour,Money
Strongly Opposed,Gambling is addictive and destroyed many families by one members gaming
Strongly Opposed,Organized crime
Strongly Opposed,
Strongly Opposed,It promotes Toronto as a destination for gamblers.
Strongly Opposed,
Strongly Opposed,
Strongly Opposed,"Gambling can be addictive and very detrimental to people, especially those who are poor and think they will strike it rich."
Strongly Opposed,Gambling is addictive
Strongly Opposed,Don't support untethered corporate greed.
Strongly Opposed,Contempt for cities that prostitute themselves for gambling revenue
Strongly Opposed,Results of gambling addiction are well-known
Strongly Opposed,Historically other cities had NOT gained financially
Strongly Opposed,Social issues
Strongly Opposed,Organized crime
Strongly in Favour,
Somewhat in Favour,Favor because of revenue potential and landmark/tourism
Somewhat in Favour,Source of Revenue
Strongly in Favour,to give more employment opportunities
Strongly Opposed,gambling is addictive
Strongly Opposed,Organized crime
Strongly Opposed,bad for downtown businesses
Strongly in Favour,To attract additional tourism to the city.
Strongly Opposed,"A casino in the city would attract a criminal element, including organized crime"
Strongly Opposed,Because it goes against culture
Strongly Opposed,Casinos are tacky.
Strongly in Favour,keep people in Toronto from bringing their entertainment dollars to Niagara and Orillia
Strongly Opposed,Bad for City
Strongly Opposed,
Strongly Opposed,Return on investment isn't beneficial to the city
Somewhat Opposed,negative social consequences
Strongly Opposed,Casinos drain the poor of what little wealth they have.
Somewhat in Favour,Entertainment
Strongly Opposed,There are enough casinos in the GTA already.
Strongly Opposed,Casinos attract tourists who are more likely to require police services
Strongly Opposed,"Casinos are just a poor way of taking money from people who can't afford it. 99% of people who go there, lose."
Strongly Opposed,casinos attract many people who cannot afford to spend their money . Make them more accessible and more people who cannot afford to waste money will be affected.
Strongly Opposed,"Horrible implications for the entire Ontario Horse Racing Industry if the OLG's ""modernization plan"" is implimented"
Strongly Opposed,"Many casinos ARE NOT making the money they promise for the municipalities [i.e. Niagara, Windsor]. They make money for the management companies and a select few."
Strongly in Favour,Economic Opportunities
Strongly Opposed,
Somewhat in Favour,
Strongly Opposed,Will have a detrimental on existing casinos. Some already in difficulty.New casinos will draw customers from the old.
Strongly Opposed,Gambling Addiction Issues
Strongly Opposed,I am not supportive of a Toronto casino due to evidence that casinos can have adverse social impacts.
Strongly in Favour,would bring millions of $ to toronto
Somewhat Opposed,social problems that come along with casino
Strongly Opposed,Increased crime
Strongly Opposed,Gambling is an illness
Strongly Opposed,"When we lived on Long  Island , N.Y. the casonos would provide buses for seniors on the day they received S/S cheques so they could gamble all their money leving them nothing for food or basics the rest of the month"
Strongly Opposed,Casinos exacerbate addiction problems
Strongly Opposed,I don't think there is a net benefit for Toronto.
Strongly Opposed,Detrimental to small business and local economy
Strongly Opposed,"Worked in casinos, saw first hand how it destroys people's lives"
Somewhat in Favour,"Casinos all have entertainment venues and that will augment Toronto's performing arts infrastructure... dancers, singers, musicians, stage artists"
Strongly Opposed,Gambling is addictive and placing it so close to an urban centre is unhealthy
Strongly Opposed,
Strongly Opposed,traffic congestion
Somewhat in Favour,casino in the downtown is a bad idea mostly because of the congestion
Strongly in Favour,"jobs, income, attracts touris that use are hotels are restaurant"
Strongly Opposed,"A major casino would be completely at odds with the city of neighbourhoods that define urban life in downtown Toronto. Rather than adding to the walking centric areas (King, Roncy, Leslieville) it would pull and hide people from participating."
Strongly Opposed,Supporting the economy through the misfortune and/or support of addiction of others is not my vision of job creation and sustainable development.
Strongly Opposed,There are numerous studies that show the dangers of easily accessible gambling on the finances of susceptible young people.
Strongly Opposed,Will attract crime.
Strongly Opposed,Toronto already has so much to offer to tourists and locals.  More support of existing activities would be welcome instead.
Strongly Opposed,Casinos prey on the unfortunate
Neutral or Mixed Feelings,A casino would provide the convenience of being local and would attract more tourism into the core
Strongly Opposed,"An increase in crime such as drugs, prostitution, petty theft, etc."
Strongly in Favour,Jobs in casino
Strongly Opposed,Gambling is addictive
Strongly Opposed,Encourages people to spend money they can't afford to spend
Strongly Opposed,I don't think Toronto needs a casino as Toronto residents have easy access to other casinos
Strongly Opposed,Casino will bring social misery
Somewhat Opposed,- Loss of diversity (restaurants)
Strongly Opposed,I work at the Casino in Port Perry
Strongly Opposed,We don't need it
Strongly Opposed,No public benefit
Strongly in Favour,Entertainment
Strongly Opposed,Gambling addiction is a problem and not to be encouraged
Strongly Opposed,Violates my values/vision of Toronto as a cultural and artisitic hub.
Strongly Opposed,I do not like the idea of a casino in Toronto
Strongly in Favour,economic development
Strongly in Favour,"Because I want to see the revenues lost to online betting, and illegal gambling be kept within the local economy."
